Date,Company,R&D_Spending_USD_Mn,AI_Revenue_USD_Mn,AI_Revenue_Growth_%,Event,Stock_Impact_%
2021-04-09,OpenAI,8.74,2.56,156.2,,0.78
2021-04-10,OpenAI,7.33,2.6,160.05,,-0.88
2021-04-11,OpenAI,8.42,2.88,188.22,,-0.79
2021-04-12,OpenAI,5.48,3.25,224.55,,0.21
2021-04-13,OpenAI,7.6,1.86,85.6,,-0.3
2021-04-14,OpenAI,7.75,2.71,171.25,,-0.66
2021-04-15,OpenAI,6.95,3.0,199.88,,0.33
2021-04-16,OpenAI,7.52,3.69,269.01,,0.03
2021-04-17,OpenAI,5.87,3.47,247.31,,-0.65
2021-04-18,OpenAI,8.23,2.81,180.58,,0.57
2021-04-19,OpenAI,7.18,3.71,271.07,,0.45
2021-04-20,OpenAI,6.68,3.21,220.77,,0.92
2021-04-21,OpenAI,9.05,2.5,150.25,,0.86
2021-04-22,OpenAI,7.53,2.37,137.02,,-0.66
2021-04-23,OpenAI,7.73,2.78,177.51,,0.11
2021-04-24,OpenAI,8.52,1.76,75.81,,-0.97
2021-04-25,OpenAI,8.83,3.04,204.31,,-0.58
2021-04-26,OpenAI,10.16,2.31,130.72,,0.66
2021-04-27,OpenAI,8.8,2.36,136.33,,-0.68
2021-04-28,OpenAI,8.1,2.06,105.78,,-0.5
2021-04-29,OpenAI,9.21,2.41,140.96,,0.48
2021-04-30,OpenAI,7.95,2.59,159.36,,0.13
2021-05-01,OpenAI,6.22,2.73,173.15,,-0.55
2021-05-02,OpenAI,8.41,2.66,165.73,,0.1
2021-05-03,OpenAI,8.49,3.35,235.36,,0.87
2021-05-04,OpenAI,7.06,2.65,165.16,,0.01
2021-05-05,OpenAI,6.87,2.1,109.65,,-0.88
2021-05-06,OpenAI,8.17,3.34,234.25,,-0.02
2021-05-07,OpenAI,7.66,2.69,169.4,,-0.42
2021-05-08,OpenAI,6.86,2.57,157.41,,0.03
2021-05-09,OpenAI,6.37,2.96,195.88,,-0.01
2021-05-10,OpenAI,8.2,2.75,175.02,,0.91
2021-05-11,OpenAI,9.09,3.37,236.98,,0.82
2021-05-12,OpenAI,7.66,2.3,129.74,,0.56
2021-05-13,OpenAI,9.01,2.94,193.76,,-0.84
2021-05-14,OpenAI,7.26,2.78,177.94,,-0.66
2021-05-15,OpenAI,7.63,3.16,215.7,,-0.82
2021-05-16,OpenAI,7.73,3.69,268.88,,0.71
2021-05-17,OpenAI,8.39,1.89,88.8,,0.64
2021-05-18,OpenAI,8.41,3.06,206.3,,0.38
2021-05-19,OpenAI,8.16,3.54,253.87,,-0.19
2021-05-20,OpenAI,7.77,3.49,249.39,,0.65
2021-05-21,OpenAI,6.97,3.08,207.79,AI speech recognition release,4.82
2021-05-22,OpenAI,9.21,3.23,223.41,,0.38
2021-05-23,OpenAI,7.73,3.41,240.94,,0.33
2021-05-24,OpenAI,7.6,2.89,189.02,,0.3
2021-05-25,OpenAI,8.29,2.31,131.48,,0.8
2021-05-26,OpenAI,6.8,2.83,182.76,,0.25
2021-05-27,OpenAI,6.98,3.02,201.95,,0.02
2021-05-28,OpenAI,8.39,3.33,233.01,,0.67
2021-05-29,OpenAI,8.02,2.75,174.68,,-0.74
2021-05-30,OpenAI,8.92,3.15,215.27,,0.91
2021-05-31,OpenAI,9.36,3.06,205.89,,0.82
2021-06-01,OpenAI,7.5,3.28,227.81,AI ethics policy update,4.42
2021-06-02,OpenAI,6.9,3.55,254.59,,0.34
2021-06-03,OpenAI,9.48,3.26,225.77,,0.95
2021-06-04,OpenAI,8.27,2.8,180.39,,-0.96
2021-06-05,OpenAI,8.75,2.47,146.65,,-0.45
2021-06-06,OpenAI,5.11,2.31,131.48,,0.02
2021-06-07,OpenAI,7.81,3.33,232.77,,0.49
2021-06-08,OpenAI,7.17,2.69,169.3,,-0.49
2021-06-09,OpenAI,7.54,2.84,184.08,,0.72
2021-06-10,OpenAI,6.69,3.66,265.57,,-0.18
2021-06-11,OpenAI,9.29,3.25,225.45,,-0.14
2021-06-12,OpenAI,7.39,2.5,150.3,,0.16
2021-06-13,OpenAI,10.57,3.58,257.69,,0.82
2021-06-14,OpenAI,7.26,2.77,177.32,,0.4
2021-06-15,OpenAI,9.19,2.83,182.62,,-0.54
2021-06-16,OpenAI,8.67,3.44,243.96,,-0.29
2021-06-17,OpenAI,8.39,3.23,222.85,,0.21
2021-06-18,OpenAI,9.47,3.41,240.99,,0.4
2021-06-19,OpenAI,9.4,2.7,169.51,,-0.96
2021-06-20,OpenAI,7.77,3.12,212.35,,-0.15
2021-06-21,OpenAI,8.37,3.24,224.38,,-0.06
2021-06-22,OpenAI,7.66,2.46,146.0,,-0.03
2021-06-23,OpenAI,8.52,3.64,263.57,,0.9
2021-06-24,OpenAI,7.8,2.63,162.67,,0.43
2021-06-25,OpenAI,7.51,3.32,232.41,,-0.47
2021-06-26,OpenAI,8.73,2.33,133.15,,0.82
2021-06-27,OpenAI,7.62,3.29,229.28,,0.81
2021-06-28,OpenAI,8.29,3.22,221.72,,-0.03
2021-06-29,OpenAI,7.78,3.43,242.82,,0.65
2021-06-30,OpenAI,8.54,2.82,182.39,,0.55
2021-07-01,OpenAI,6.93,3.76,276.16,,-0.46
2021-07-02,OpenAI,6.67,3.18,217.84,,-0.29
2021-07-03,OpenAI,8.98,2.34,133.75,,0.52
2021-07-04,OpenAI,7.48,2.56,155.7,,0.25
2021-07-05,OpenAI,6.1,3.09,209.35,,0.66
2021-07-06,OpenAI,7.73,1.79,79.26,,0.32
2021-07-07,OpenAI,7.22,2.15,114.97,,-0.47
2021-07-08,OpenAI,6.59,3.4,239.63,,0.65
2021-07-09,OpenAI,8.64,3.15,215.42,,0.62
2021-07-10,OpenAI,9.5,3.64,263.76,,-0.02
2021-07-11,OpenAI,7.98,3.38,238.41,AI-powered search update,2.81
2021-07-12,OpenAI,7.3,2.58,157.88,,-0.22
2021-07-13,OpenAI,10.23,3.55,255.35,,0.0
2021-07-14,OpenAI,8.33,2.7,170.46,,-0.18
2021-07-15,OpenAI,7.75,2.17,116.78,,-0.06
2021-07-16,OpenAI,8.06,2.35,134.74,,-0.24
2021-07-17,OpenAI,9.16,3.26,225.89,,-0.11
2021-07-18,OpenAI,7.71,2.07,106.77,,-0.46
2021-07-19,OpenAI,6.95,2.99,198.59,,-0.97
2021-07-20,OpenAI,9.16,1.93,92.96,,-0.85
2021-07-21,OpenAI,6.89,4.16,316.45,,0.11
2021-07-22,OpenAI,6.88,3.01,201.06,,0.91
2021-07-23,OpenAI,9.61,3.04,203.64,,-0.28
2021-07-24,OpenAI,8.88,2.32,132.0,,1.0
2021-07-25,OpenAI,9.03,2.89,189.04,,0.3
2021-07-26,OpenAI,7.5,3.59,259.49,,-0.62
2021-07-27,OpenAI,6.78,3.14,214.35,,-0.67
2021-07-28,OpenAI,7.63,3.13,212.64,,0.65
2021-07-29,OpenAI,6.1,2.79,179.41,,-0.31
2021-07-30,OpenAI,7.07,2.63,162.92,,-0.27
2021-07-31,OpenAI,8.34,3.43,243.07,,0.98
2021-08-01,OpenAI,8.02,2.81,180.55,,-0.89
2021-08-02,OpenAI,7.58,3.31,230.55,,-0.72
2021-08-03,OpenAI,8.43,3.11,211.37,,0.35
2021-08-04,OpenAI,7.95,3.05,204.99,,0.06
2021-08-05,OpenAI,8.84,3.27,227.45,,0.42
2021-08-06,OpenAI,7.24,3.28,227.73,,0.77
2021-08-07,OpenAI,6.51,2.54,154.3,,0.43
2021-08-08,OpenAI,6.6,3.77,277.17,,-0.99
2021-08-09,OpenAI,7.41,3.22,221.91,,-0.3
2021-08-10,OpenAI,7.22,2.43,142.76,Codex release,7.2
2021-08-11,OpenAI,6.75,2.35,135.15,,0.89
2021-08-12,OpenAI,9.19,2.93,193.44,,-0.17
2021-08-13,OpenAI,6.91,1.94,94.41,,-0.53
2021-08-14,OpenAI,8.07,2.78,178.41,,-0.02
2021-08-15,OpenAI,7.37,2.81,181.12,,0.57
2021-08-16,OpenAI,9.89,3.63,263.16,,-0.68
2021-08-17,OpenAI,7.47,3.63,263.35,,0.86
2021-08-18,OpenAI,8.35,3.24,223.57,,-0.43
2021-08-19,OpenAI,9.82,3.02,202.19,,-0.95
2021-08-20,OpenAI,6.44,2.52,152.15,,-0.72
2021-08-21,OpenAI,6.82,2.82,181.77,,-0.07
2021-08-22,OpenAI,8.64,3.22,222.12,,0.24
2021-08-23,OpenAI,7.56,2.53,152.85,,-0.27
2021-08-24,OpenAI,7.98,3.07,206.94,,0.55
2021-08-25,OpenAI,7.72,2.29,128.99,,-0.61
2021-08-26,OpenAI,7.26,3.43,243.32,,0.41
2021-08-27,OpenAI,7.61,2.89,188.7,,-0.38
2021-08-28,OpenAI,9.35,3.62,262.13,,-0.1
2021-08-29,OpenAI,8.18,2.63,163.33,,0.97
2021-08-30,OpenAI,7.3,2.21,121.11,,-0.38
2021-08-31,OpenAI,8.16,3.56,256.32,,0.94
2021-09-01,OpenAI,8.7,3.67,267.25,,-0.45
2021-09-02,OpenAI,6.16,2.94,193.88,,0.13
2021-09-03,OpenAI,10.92,3.32,231.71,,0.34
2021-09-04,OpenAI,7.6,3.27,227.14,,0.03
2021-09-05,OpenAI,7.1,3.33,232.68,,0.56
2021-09-06,OpenAI,8.91,2.5,149.82,,-0.57
2021-09-07,OpenAI,8.65,2.62,162.19,,0.26
2021-09-08,OpenAI,9.27,3.27,227.26,,0.71
2021-09-09,OpenAI,9.37,2.64,163.74,,-0.89
2021-09-10,OpenAI,9.33,2.66,166.29,,0.98
2021-09-11,OpenAI,8.17,3.8,280.31,,-0.19
2021-09-12,OpenAI,7.85,2.85,184.81,,0.91
2021-09-13,OpenAI,8.45,3.63,262.62,,-0.49
2021-09-14,OpenAI,7.77,3.35,235.23,,0.43
2021-09-15,OpenAI,8.14,2.73,172.55,,-0.06
2021-09-16,OpenAI,7.78,2.09,109.32,,0.69
2021-09-17,OpenAI,8.81,3.23,222.87,,0.19
2021-09-18,OpenAI,8.25,3.39,239.43,,-0.91
2021-09-19,OpenAI,8.56,3.1,209.6,,-0.63
2021-09-20,OpenAI,6.57,3.29,228.88,,-0.9
2021-09-21,OpenAI,9.2,2.86,185.68,,0.51
2021-09-22,OpenAI,7.15,3.6,259.98,,-0.27
2021-09-23,OpenAI,9.33,2.43,143.46,,-0.05
2021-09-24,OpenAI,8.32,2.75,175.08,,-0.12
2021-09-25,OpenAI,7.3,3.0,200.34,,-0.57
2021-09-26,OpenAI,8.39,3.54,254.15,,-0.18
2021-09-27,OpenAI,10.0,3.19,219.33,,0.35
2021-09-28,OpenAI,5.62,3.26,226.36,,0.86
2021-09-29,OpenAI,7.18,2.69,169.37,,0.32
2021-09-30,OpenAI,9.46,2.26,125.67,,0.35
2021-10-01,OpenAI,9.01,2.49,148.54,,-0.85
2021-10-02,OpenAI,7.57,2.89,189.39,,0.3
2021-10-03,OpenAI,8.03,3.38,238.14,,-0.68
2021-10-04,OpenAI,8.44,3.51,251.28,,0.29
2021-10-05,OpenAI,7.82,2.92,192.44,,-0.43
2021-10-06,OpenAI,7.88,3.06,206.19,,-0.41
2021-10-07,OpenAI,6.9,1.98,97.57,,0.19
2021-10-08,OpenAI,8.35,2.53,152.91,,-0.76
2021-10-09,OpenAI,8.99,3.52,252.37,,-0.42
2021-10-10,OpenAI,8.16,3.34,234.15,,-0.93
2021-10-11,OpenAI,9.33,3.28,227.95,,-0.21
2021-10-12,OpenAI,8.39,3.34,233.58,,-0.11
2021-10-13,OpenAI,7.03,2.77,176.85,,0.74
2021-10-14,OpenAI,8.86,3.3,230.15,,0.51
2021-10-15,OpenAI,9.17,3.19,218.53,,0.55
2021-10-16,OpenAI,8.39,2.78,178.28,AI Ads Optimization upgrade,-2.98
2021-10-17,OpenAI,6.98,3.34,233.98,,-0.74
2021-10-18,OpenAI,9.24,3.29,228.88,,0.48
2021-10-19,OpenAI,7.27,2.86,185.71,,-0.09
2021-10-20,OpenAI,7.22,3.03,203.37,,0.4
2021-10-21,OpenAI,7.23,2.68,167.96,,-0.49
2021-10-22,OpenAI,9.76,3.38,238.18,,0.08
2021-10-23,OpenAI,6.55,3.8,280.19,,-0.65
2021-10-24,OpenAI,9.24,2.76,175.73,,-0.03
2021-10-25,OpenAI,8.67,2.68,168.39,,0.83
2021-10-26,OpenAI,8.29,2.89,189.01,,-0.81
2021-10-27,OpenAI,7.58,3.46,246.33,,0.9
2021-10-28,OpenAI,7.37,3.29,228.62,,0.1
2021-10-29,OpenAI,9.81,3.25,225.15,,0.9
2021-10-30,OpenAI,8.45,3.1,210.15,,-0.16
2021-10-31,OpenAI,7.01,2.5,150.04,,-0.98
2021-11-01,OpenAI,8.54,2.55,155.46,,1.0
2021-11-02,OpenAI,7.5,3.24,223.63,,0.93
2021-11-03,OpenAI,6.91,3.16,216.03,,0.56
2021-11-04,OpenAI,7.61,3.46,246.3,,-0.24
2021-11-05,OpenAI,7.55,2.94,194.01,,-0.5
2021-11-06,OpenAI,7.72,3.21,221.34,,-0.95
2021-11-07,OpenAI,6.9,3.2,219.76,,-0.27
2021-11-08,OpenAI,8.57,2.91,190.73,,0.52
2021-11-09,OpenAI,6.67,2.48,147.6,,0.54
2021-11-10,OpenAI,7.09,2.6,159.7,,0.69
2021-11-11,OpenAI,7.18,2.87,187.13,,0.79
2021-11-12,OpenAI,6.55,2.84,183.69,,0.37
2021-11-13,OpenAI,8.39,3.22,222.21,,1.0
2021-11-14,OpenAI,8.64,3.21,221.28,,-0.96
2021-11-15,OpenAI,8.66,4.44,343.65,,0.74
2021-11-16,OpenAI,6.88,2.37,136.73,,0.45
2021-11-17,OpenAI,9.69,2.16,116.17,,-0.25
2021-11-18,OpenAI,8.78,2.87,186.84,,-0.87
2021-11-19,OpenAI,8.62,3.51,250.8,,-0.21
2021-11-20,OpenAI,7.8,2.25,124.85,,-0.55
2021-11-21,OpenAI,6.8,2.7,169.54,,-0.45
2021-11-22,OpenAI,7.39,2.58,158.26,,0.44
2021-11-23,OpenAI,8.87,2.05,104.76,,-0.72
2021-11-24,OpenAI,8.27,3.05,204.94,,-0.5
2021-11-25,OpenAI,8.65,2.94,193.6,,-0.4
2021-11-26,OpenAI,9.22,3.0,199.67,,0.3
2021-11-27,OpenAI,8.35,2.72,172.5,,0.79
2021-11-28,OpenAI,8.11,2.84,183.69,,0.79
2021-11-29,OpenAI,5.54,2.63,163.03,,-0.83
2021-11-30,OpenAI,9.07,2.95,195.15,,-0.28
2021-12-01,OpenAI,8.32,2.84,183.7,,-0.13
2021-12-02,OpenAI,10.05,3.02,202.34,,-0.39
2021-12-03,OpenAI,8.55,3.31,231.15,,-0.55
2021-12-04,OpenAI,8.53,3.01,201.4,,-0.61
2021-12-05,OpenAI,7.97,4.05,304.86,,-0.74
2021-12-06,OpenAI,8.59,3.5,250.36,,-0.94
2021-12-07,OpenAI,8.49,3.76,275.57,,0.08
2021-12-08,OpenAI,8.1,2.69,168.82,,-0.47
2021-12-09,OpenAI,7.97,2.69,169.22,,-0.13
2021-12-10,OpenAI,7.39,2.24,124.17,,0.83
2021-12-11,OpenAI,7.8,4.63,362.83,,-0.38
2021-12-12,OpenAI,9.11,3.07,207.48,,0.32
2021-12-13,OpenAI,8.0,3.5,250.38,,-0.22
2021-12-14,OpenAI,6.81,3.22,221.73,,0.92
2021-12-15,OpenAI,8.45,2.47,147.38,,0.71
2021-12-16,OpenAI,8.06,4.17,316.51,,-0.79
2021-12-17,OpenAI,8.85,3.08,207.82,,0.65
2021-12-18,OpenAI,8.31,3.02,202.28,,0.08
2021-12-19,OpenAI,7.0,2.86,185.71,,0.57
2021-12-20,OpenAI,7.15,2.86,186.45,,-0.96
2021-12-21,OpenAI,7.74,3.01,200.84,,1.0
2021-12-22,OpenAI,8.05,4.08,307.57,,-0.83
2021-12-23,OpenAI,8.81,3.56,256.49,,-0.57
2021-12-24,OpenAI,9.01,3.85,285.29,,-0.94
2021-12-25,OpenAI,8.63,2.77,177.22,,0.83
2021-12-26,OpenAI,5.95,2.81,181.47,,0.65
2021-12-27,OpenAI,7.21,3.27,227.37,,0.52
2021-12-28,OpenAI,7.72,3.84,284.45,,-0.65
2021-12-29,OpenAI,6.85,3.14,214.43,,-0.4
2021-12-30,OpenAI,7.97,2.9,189.78,,0.61
2021-12-31,OpenAI,8.91,2.37,137.07,,-0.66
2022-01-01,OpenAI,8.89,3.48,247.6,,-0.45
2022-01-02,OpenAI,7.9,3.53,253.0,,-0.53
2022-01-03,OpenAI,8.79,3.04,203.75,,-0.67
2022-01-04,OpenAI,9.65,3.61,261.48,,-0.84
2022-01-05,OpenAI,10.7,3.01,200.87,,-0.41
2022-01-06,OpenAI,7.73,4.03,303.23,,-0.67
2022-01-07,OpenAI,8.05,3.39,239.0,,-0.64
2022-01-08,OpenAI,10.09,3.09,209.49,,0.61
2022-01-09,OpenAI,9.04,3.46,245.95,,-0.27
2022-01-10,OpenAI,7.81,3.58,257.92,,-0.47
2022-01-11,OpenAI,9.1,2.24,123.79,,-0.02
2022-01-12,OpenAI,8.4,2.82,182.35,,0.26
2022-01-13,OpenAI,7.91,2.65,164.52,,0.21
2022-01-14,OpenAI,7.93,3.44,244.25,,-0.93
2022-01-15,OpenAI,7.54,3.52,251.65,,0.52
2022-01-16,OpenAI,8.19,4.85,384.78,,0.86
2022-01-17,OpenAI,9.05,4.3,329.51,,-0.01
2022-01-18,OpenAI,7.49,3.52,251.6,,0.8
2022-01-19,OpenAI,8.06,2.94,193.86,,0.73
2022-01-20,OpenAI,7.35,3.97,297.41,,-0.85
2022-01-21,OpenAI,9.08,3.96,296.01,,0.45
2022-01-22,OpenAI,6.41,3.89,288.56,,-0.02
2022-01-23,OpenAI,6.42,3.35,235.23,,0.85
2022-01-24,OpenAI,9.44,2.63,163.2,,-0.54
2022-01-25,OpenAI,8.49,3.77,276.6,,0.36
2022-01-26,OpenAI,7.37,3.22,222.09,,-1.0
2022-01-27,OpenAI,8.18,3.54,253.79,,-0.93
2022-01-28,OpenAI,9.97,3.68,268.18,,0.95
2022-01-29,OpenAI,8.22,4.22,321.99,,-0.33
2022-01-30,OpenAI,8.43,3.58,257.93,,-0.75
2022-01-31,OpenAI,7.41,3.68,268.39,,0.6
2022-02-01,OpenAI,6.51,2.22,121.95,,0.44
2022-02-02,OpenAI,8.19,3.63,263.09,,-0.65
2022-02-03,OpenAI,7.5,2.62,162.45,,-0.11
2022-02-04,OpenAI,8.46,2.82,181.96,,-0.53
2022-02-05,OpenAI,7.81,3.43,242.99,,0.86
2022-02-06,OpenAI,8.46,4.0,299.92,,-0.82
2022-02-07,OpenAI,9.45,3.61,260.51,,-0.77
2022-02-08,OpenAI,6.48,3.31,230.95,,0.2
2022-02-09,OpenAI,6.86,3.62,261.7,,0.16
2022-02-10,OpenAI,8.82,3.49,249.02,,0.06
2022-02-11,OpenAI,9.75,3.84,283.88,,-0.8
2022-02-12,OpenAI,6.34,3.72,271.56,,-0.9
2022-02-13,OpenAI,9.48,3.06,206.15,,0.08
2022-02-14,OpenAI,8.41,3.16,215.9,,0.75
2022-02-15,OpenAI,8.87,2.98,198.46,,0.06
2022-02-16,OpenAI,8.75,4.18,318.3,,0.38
2022-02-17,OpenAI,8.58,3.67,266.85,,-0.26
2022-02-18,OpenAI,7.62,3.82,281.86,,-0.25
2022-02-19,OpenAI,7.93,3.55,254.84,,-0.87
2022-02-20,OpenAI,7.88,3.62,262.0,,0.12
2022-02-21,OpenAI,8.73,4.04,303.54,,0.56
2022-02-22,OpenAI,9.48,3.3,230.07,,-0.69
2022-02-23,OpenAI,7.87,3.3,230.49,,0.13
2022-02-24,OpenAI,9.1,3.66,265.61,,0.74
2022-02-25,OpenAI,7.81,2.93,193.45,,0.38
2022-02-26,OpenAI,8.11,4.13,313.46,,0.97
2022-02-27,OpenAI,7.3,3.5,249.88,,-0.04
2022-02-28,OpenAI,9.12,3.22,222.19,,0.65
2022-03-01,OpenAI,9.23,3.91,290.82,,-0.28
2022-03-02,OpenAI,10.02,3.14,214.37,,-0.15
2022-03-03,OpenAI,8.93,3.76,276.24,,0.03
2022-03-04,OpenAI,9.62,3.1,209.9,,-0.04
2022-03-05,OpenAI,8.75,4.17,316.87,,-0.38
2022-03-06,OpenAI,8.78,3.43,242.67,,0.88
2022-03-07,OpenAI,8.23,3.53,252.71,,0.24
2022-03-08,OpenAI,8.2,4.12,311.93,,-0.82
2022-03-09,OpenAI,8.63,2.87,187.25,,0.25
2022-03-10,OpenAI,9.68,3.72,272.08,,0.72
2022-03-11,OpenAI,7.45,3.91,291.32,,-0.44
2022-03-12,OpenAI,8.72,3.49,248.5,AI Video Recommendation upgrade,-2.19
2022-03-13,OpenAI,8.37,3.45,245.11,,-0.07
2022-03-14,OpenAI,10.58,3.13,212.91,,0.51
2022-03-15,OpenAI,8.66,3.95,295.22,,-0.31
2022-03-16,OpenAI,6.37,3.88,288.41,,-0.91
2022-03-17,OpenAI,7.95,2.85,184.8,,0.96
2022-03-18,OpenAI,11.48,3.48,248.39,,0.24
2022-03-19,OpenAI,9.67,3.02,202.29,,0.3
2022-03-20,OpenAI,8.06,3.54,254.16,,-0.66
2022-03-21,OpenAI,8.6,3.78,277.8,,-0.85
2022-03-22,OpenAI,9.64,4.18,317.82,,-0.61
2022-03-23,OpenAI,7.61,3.58,257.57,AI-powered search update,3.87
2022-03-24,OpenAI,8.83,3.62,261.74,,0.12
2022-03-25,OpenAI,7.15,3.34,233.74,,0.34
2022-03-26,OpenAI,8.17,3.33,232.61,,-0.45
2022-03-27,OpenAI,6.57,4.04,303.92,,0.78
2022-03-28,OpenAI,8.95,3.55,255.0,,0.78
2022-03-29,OpenAI,11.18,3.62,261.92,,-0.17
2022-03-30,OpenAI,9.99,3.92,291.87,,-0.04
2022-03-31,OpenAI,8.12,3.28,228.27,,-0.99
2022-04-01,OpenAI,8.38,2.71,171.09,,0.29
2022-04-02,OpenAI,9.65,3.43,242.6,,0.98
2022-04-03,OpenAI,7.66,3.31,230.98,,0.19
2022-04-04,OpenAI,9.2,3.25,224.98,,0.74
2022-04-05,OpenAI,8.25,3.48,247.94,,0.33
2022-04-06,OpenAI,9.24,3.48,247.93,DALL·E 2 release,9.8
2022-04-07,OpenAI,10.71,4.46,346.19,,0.86
2022-04-08,OpenAI,8.76,3.58,258.47,,-0.47
2022-04-09,OpenAI,8.0,4.01,301.38,,0.92
2022-04-10,OpenAI,7.83,4.01,301.32,AI speech recognition release,3.5
2022-04-11,OpenAI,9.45,4.32,331.88,,0.5
2022-04-12,OpenAI,9.57,3.61,260.67,,0.54
2022-04-13,OpenAI,9.13,3.56,255.81,,0.35
2022-04-14,OpenAI,7.7,4.84,384.23,,0.89
2022-04-15,OpenAI,9.88,3.18,218.46,,-0.04
2022-04-16,OpenAI,7.34,3.28,228.29,,-0.66
2022-04-17,OpenAI,12.08,2.88,187.77,,-0.36
2022-04-18,OpenAI,8.69,3.52,252.44,,-0.46
2022-04-19,OpenAI,10.44,3.49,248.95,,0.38
2022-04-20,OpenAI,9.19,2.22,121.54,,0.22
2022-04-21,OpenAI,10.4,3.6,259.95,,0.52
2022-04-22,OpenAI,9.05,3.03,202.63,,-0.66
2022-04-23,OpenAI,7.77,2.89,189.19,,-0.22
2022-04-24,OpenAI,7.82,4.07,307.36,,0.96
2022-04-25,OpenAI,7.85,3.49,249.36,,-0.55
2022-04-26,OpenAI,8.79,2.72,172.04,,-0.42
2022-04-27,OpenAI,10.31,3.53,252.59,,-0.73
2022-04-28,OpenAI,8.28,3.48,248.3,,0.96
2022-04-29,OpenAI,7.62,3.28,227.93,,0.71
2022-04-30,OpenAI,8.49,3.34,233.98,,0.5
2022-05-01,OpenAI,11.11,3.44,243.77,,0.08
2022-05-02,OpenAI,9.34,2.85,184.94,,-0.96
2022-05-03,OpenAI,7.77,3.93,293.25,,-0.78
2022-05-04,OpenAI,8.78,3.45,245.03,,0.32
2022-05-05,OpenAI,9.75,2.85,184.76,,-0.84
2022-05-06,OpenAI,7.87,2.89,189.01,,0.09
2022-05-07,OpenAI,8.25,3.66,265.85,,0.28
2022-05-08,OpenAI,7.1,3.03,203.44,,0.07
2022-05-09,OpenAI,7.59,4.32,331.91,,0.55
2022-05-10,OpenAI,8.63,4.0,300.36,,-0.2
2022-05-11,OpenAI,7.57,3.44,243.62,,-0.11
2022-05-12,OpenAI,7.32,4.18,318.29,,0.64
2022-05-13,OpenAI,7.63,2.23,122.61,,-0.46
2022-05-14,OpenAI,10.48,3.55,254.76,,0.89
2022-05-15,OpenAI,7.73,3.48,248.35,,-0.65
2022-05-16,OpenAI,9.42,3.42,241.51,,0.5
2022-05-17,OpenAI,8.35,3.4,240.07,,0.42
2022-05-18,OpenAI,8.78,4.19,318.89,,0.41
2022-05-19,OpenAI,8.91,3.44,244.24,,-0.65
2022-05-20,OpenAI,8.48,4.3,330.1,,-0.17
2022-05-21,OpenAI,9.8,3.79,279.48,,0.66
2022-05-22,OpenAI,9.06,4.24,324.46,,0.84
2022-05-23,OpenAI,7.28,3.42,241.92,,0.85
2022-05-24,OpenAI,9.49,4.46,346.24,,0.05
2022-05-25,OpenAI,8.92,4.38,337.77,,0.96
2022-05-26,OpenAI,8.4,3.24,223.66,,0.94
2022-05-27,OpenAI,7.89,4.04,304.2,,-0.57
2022-05-28,OpenAI,7.25,3.03,202.53,,-0.64
2022-05-29,OpenAI,8.29,3.78,277.93,,-0.48
2022-05-30,OpenAI,8.67,3.77,276.93,,-0.45
2022-05-31,OpenAI,7.24,3.67,266.7,,-0.2
2022-06-01,OpenAI,6.94,3.47,247.01,,0.46
2022-06-02,OpenAI,8.46,3.52,252.25,AI-powered search update,2.27
2022-06-03,OpenAI,7.36,3.97,297.03,,-0.83
2022-06-04,OpenAI,7.75,3.74,273.75,,-0.02
2022-06-05,OpenAI,9.13,3.69,268.63,,0.14
2022-06-06,OpenAI,9.25,3.22,221.75,,0.8
2022-06-07,OpenAI,8.28,4.0,300.02,,0.16
2022-06-08,OpenAI,9.22,3.29,229.09,,0.54
2022-06-09,OpenAI,8.77,3.31,231.48,,0.15
2022-06-10,OpenAI,10.24,4.18,317.94,,-0.22
2022-06-11,OpenAI,9.64,3.38,238.35,,-0.47
2022-06-12,OpenAI,8.36,3.93,292.85,,0.56
2022-06-13,OpenAI,8.02,3.84,284.36,,-0.6
2022-06-14,OpenAI,9.01,3.48,247.87,,0.96
2022-06-15,OpenAI,9.34,3.61,261.17,,-0.89
2022-06-16,OpenAI,7.0,3.91,290.81,,0.48
2022-06-17,OpenAI,9.0,3.49,248.96,,0.72
2022-06-18,OpenAI,9.71,3.95,294.64,,0.56
2022-06-19,OpenAI,8.62,3.45,244.93,,0.78
2022-06-20,OpenAI,8.89,2.58,158.4,,-0.04
2022-06-21,OpenAI,7.58,3.57,256.82,,0.35
2022-06-22,OpenAI,9.37,4.1,310.01,,0.56
2022-06-23,OpenAI,8.84,3.1,209.73,,-0.05
2022-06-24,OpenAI,6.9,3.69,268.77,,0.16
2022-06-25,OpenAI,8.23,3.5,250.09,,-0.19
2022-06-26,OpenAI,9.16,3.08,208.24,,0.57
2022-06-27,OpenAI,9.66,3.74,274.34,,-0.94
2022-06-28,OpenAI,9.72,3.65,265.14,,0.66
2022-06-29,OpenAI,7.6,3.49,249.05,,-0.67
2022-06-30,OpenAI,9.1,2.87,187.34,,0.28
2022-07-01,OpenAI,9.55,4.15,315.17,,0.9
2022-07-02,OpenAI,8.45,4.62,362.12,,-0.79
2022-07-03,OpenAI,8.59,3.85,284.62,,-0.35
2022-07-04,OpenAI,7.94,3.51,250.95,,-0.27
2022-07-05,OpenAI,8.83,3.73,272.74,,-0.51
2022-07-06,OpenAI,9.24,3.83,283.09,,0.89
